N,T,Total_T
0,140,140
100,886,48787
200,1640,173765
300,2400,396136
400,3244,679777
500,4007,1042565
600,4766,1518715
700,5730,2056664
800,6615,2693257
900,7258,3413787
1000,8124,4194244
1100,9366,5104892
1200,10402,6103038
1300,11335,7203947
1400,12646,8396029
1500,14016,9724751
1600,15301,11173423
1700,16043,12749092
1800,17540,14460170
1900,19010,16292617
2000,20672,18286422
2100,22017,20425169
2200,23548,22715745
2300,24873,25143996
2400,25935,27784381
2500,26995,30527113
2600,28682,33375279
2700,30493,36334396
2800,31799,39447556
2900,32928,42700149
3000,34501,46094291
3100,35853,49655611
3200,38176,53353110
3300,39213,57192354
3400,40262,61191212
3500,42008,65320380
3600,43418,69611568
3700,45286,74040215
3800,48024,78621120
3900,47796,83336924
4000,49393,88206733
4100,50573,93233564
4200,52077,98397870
4300,53274,103691862
4400,55140,109130246
4500,56545,114722125
4600,58119,120477806
4700,59379,126373677
4800,61094,132398858
4900,61677,138552254
5000,63790,144854338
5100,65393,151293002
5200,66686,157887207
5300,68141,164631452
5400,69634,171532623
5500,71355,178567339
5600,72394,185787621
5700,74218,193117979
5800,75663,200597056
5900,76518,208227265
6000,78179,215985738
6100,78970,223880350
6200,80766,231896849
6300,82239,240065471
6400,84273,248391240
6500,85138,256906536
6600,86802,265534803
6700,87797,274311870
6800,89843,283227439
6900,90807,292287586
7000,92186,301479298
7100,93698,310813519
7200,95517,320512178
7300,97253,330153140
7400,98491,339971844
7500,99507,349875671
7600,100939,359953507
7700,102170,370144700
7800,104033,380546284
7900,105488,391046602
8000,106958,402208673
8100,108151,413025127
8200,109745,423945116
8300,111427,435020878
8400,113001,446240783
8500,113443,457592432
8600,115672,469091747
8700,117203,480735773
8800,118559,492512038
8900,119567,504411092
9000,120950,516456861
9100,123979,529101311
9200,123774,541423910
9300,124524,553870312
9400,126656,566490571
9500,128502,579256686
9600,130292,592176841
9700,131501,605244903
9800,134186,618553257
9900,134310,631918568
10000,135007,645424877
10100,136956,659071116
10200,138337,672842962
10300,139767,686785947
10400,142602,700841003
10500,142846,715051978
10600,145824,729437466
10700,145012,744083536
10800,146740,758766170
10900,148244,773554814
11000,150256,788504110
11100,151879,803656040
11200,152760,818906670
11300,154658,834286978
11400,154979,849808614
11500,156567,865481884
11600,158307,881267497
11700,159614,897263242
11800,160838,913330774
11900,162409,929786407
12000,163921,946146846
12100,165648,962641681
12200,167118,979288612
12300,167964,996083288
12400,169407,1013075207
12500,172809,1030152543
12600,172645,1047471230
12700,174545,1064894887
12800,175593,1082497219
12900,160473,1098041401
13000,162413,1114161632
13100,165636,1130609109
13200,168025,1147349718
13300,172503,1164447121
13400,172086,1181688176
13500,174460,1199065047
13600,175834,1216961336
13700,178966,1234695732
13800,179206,1252645207
13900,180848,1270905225
14000,182371,1289368795
14100,184348,1307752649
14200,187595,1326658069
14300,187278,1345356341
14400,190291,1364182031
14500,189740,1383164880
14600,191317,1402269988
14700,192843,1421519697
14800,194460,1440909915
14900,195958,1460414754
15000,198697,1480119700
15100,198351,1499939113
15200,199916,1519928077
15300,201329,1540040579
15400,202839,1560288063
15500,203825,1580702945
15600,205548,1601209440
15700,206952,1621864498
15800,208488,1642688077
15900,210036,1663638607
16000,212762,1684735890
16100,212274,1705948194
16200,214035,1727293820
16300,215398,1748783750
16400,216913,1770420145
16500,218045,1792209343
16600,218599,1814114153
16700,221976,1836253436
16800,222530,1858458655
16900,222999,1880759277
17000,223842,1903187821
17100,227206,1925771066
17200,229057,1948545473
17300,229098,1971446917
17400,230539,1994465400
17500,231902,2017568129
17600,233423,2041286698
17700,233780,2064718204
17800,235159,2088257383
17900,237576,2111931301
18000,237439,2135754867
18100,239912,2159770011
18200,241959,2183894543
18300,244494,2208502629
18400,244333,2232924210
18500,245839,2257472728
18600,248151,2282144049
18700,247808,2306941861
18800,249423,2331877220
18900,250897,2356941886
19000,252938,2382142596
19100,255262,2407499496
19200,255821,2432994696
19300,256681,2458620621
19400,258255,2484394466
19500,259429,2510353726
19600,262531,2536433763
19700,263784,2562638702
19800,263839,2589004463
19900,264224,2615467984
20000,266416,2642090002
20100,268158,2669247518
20200,269061,2696123669
20300,270202,2723122989
20400,272026,2750304370
20500,272857,2777570534
20600,270853,2805127864
20700,302783,2832895804
20800,273231,2860795059
20900,274669,2888802084
21000,276014,2917104275
21100,277386,2945555071
21200,278740,2974112243
21300,310916,3002806541
21400,285407,3031459111
21500,288064,3060096183
21600,287990,3088872688
21700,286584,3118042082
21800,291020,3147302271
21900,293784,3176518646
22000,293721,3205870455
22100,290852,3235539747
22200,292092,3265482608
22300,292999,3295464750
22400,326706,3325673916
22500,327212,3356042305
22600,327624,3386508580
22700,303526,3417221293
22800,305211,3447702966
22900,332510,3478520298
23000,353347,3509614405
23100,308505,3540749437
23200,306006,3571781105
23300,338320,3603356589
23400,313449,3634724515
23500,341180,3666384295
23600,318238,3698176546
23700,312383,3729954044
23800,313685,3762144858
23900,319792,3794154321
24000,334025,3826579051
24100,349084,3859049511
24200,326136,3891760271
24300,326390,3924301847
24400,328012,3956949637
24500,322913,3990091733
24600,355563,4023452275
24700,326154,4056794430
24800,327295,4090430051
24900,332327,4123930702
25000,329297,4157349669
25100,362269,4191357708
25200,363330,4225483364
25300,333676,4259675102
25400,339716,4293903326
25500,342325,4328071694
25600,339007,4362564993
25700,294203,4391200666
25800,308060,4421318457
25900,315763,4452510115
26000,324250,4484492524
26100,323579,4517302663
26200,333387,4550629471
26300,332924,4584367175
26400,367765,4618606753
26500,338539,4653363824
26600,372782,4688411114
26700,350496,4723264531
26800,346481,4758709232
26900,380082,4794394511
27000,356635,4830015417
27100,357831,4865765349
27200,382691,4901881586
27300,361063,4938152754
27400,364735,4974534687
27500,366424,5011106897
27600,362761,5047810629
27700,369378,5085140813
27800,365811,5122473571
27900,372700,5159888617
28000,376511,5197311320
28100,389322,5235101160
28200,377148,5273393026
28300,373288,5311194132
28400,380984,5350691801
28500,381683,5388835415
28600,384242,5427141769
28700,384241,5465526035
