N,T,Total_T
0,801,801
100,5289,311955
200,10169,1103231
300,2429,1338782
400,3239,1623152
500,3998,1987517
600,5057,2448741
700,5594,2986564
800,6553,3625680
900,7276,4345929
1000,8022,5165871
1100,8837,6043975
1200,9691,6985042
1300,10484,7995803
1400,11319,9091101
1500,12214,10301983
1600,13382,11603099
1700,14214,13007599
1800,14722,14492318
1900,15476,16037540
2000,16596,17655174
2100,17355,19376662
2200,18210,21201630
2300,19218,23129879
2400,20375,25138287
2500,21171,27262307
2600,22406,29509475
2700,24316,31915909
2800,25199,34386213
2900,25844,36950040
3000,27457,39636037
3100,28479,42432883
3200,29882,45348494
3300,31367,48411092
3400,32409,51599856
3500,33750,54904382
3600,34633,58342507
3700,36073,61897503
3800,37253,65572024
3900,38525,69393162
4000,39686,73324054
4100,43467,77390976
4200,42357,81591491
4300,43310,85890916
4400,44633,90281691
4500,48091,94814154
4600,46979,99484908
4700,48382,104266712
4800,49935,109208201
4900,51040,114301631
5000,52661,119491034
5100,54630,124856702
5200,57383,130351590
5300,56664,135960788
5400,58647,141713390
5500,59114,147617137
5600,61180,153645493
5700,61968,159822088
5800,65522,166132372
5900,65140,172578316
6000,66810,179174896
6100,67766,185916937
6200,69294,192818196
6300,71002,199883037
6400,72607,207054967
6500,66996,213514982
6600,70449,220401224
6700,72722,227581338
6800,74980,235006789
6900,77459,242667106
7000,79963,250519625
7100,80974,258565083
7200,82894,266781662
7300,84289,275170377
7400,85933,283707985
7500,87538,292394236
7600,88281,301175091
7700,89512,310092576
7800,90995,319145525
7900,92433,328320618
8000,94075,337659026
8100,95975,347135981
8200,96568,356760515
8300,98036,366492726
8400,98380,376351898
8500,100314,386347507
8600,101623,396462879
8700,103018,406718861
8800,104129,417122166
8900,106531,427650098
9000,107131,438299105
9100,108043,449097466
9200,110520,460040989
9300,111881,471144811
9400,112570,482349705
9500,113692,493697741
9600,115048,505172592
9700,118117,516790625
9800,120062,528561455
9900,119254,540445525
10000,123509,552505052
10100,122148,564709067
10200,123872,577043489
10300,124973,589500625
10400,126064,602104452
10500,127368,614859678
10600,129098,627736651
10700,130718,640781290
10800,133195,654063155
10900,133940,667398078
