N,T,Total_T
0,727,727
100,5938,315137
200,1848,1090873
300,2813,1359493
400,4208,1728938
500,5229,2202035
600,6418,2788975
700,7531,3491571
800,8821,4307946
900,9755,5237902
1000,11103,6288920
1100,12023,7448380
1200,13416,8727746
1300,14380,10127331
1400,15590,11645095
1500,16996,13283136
1600,18981,15073504
1700,18820,16961850
1800,20266,18971102
1900,22463,21217880
2000,24043,23670333
2100,24619,26178495
2200,26296,28798025
2300,28054,31580268
2400,29014,34581316
2500,30963,37762206
2600,33044,41026684
2700,34789,44444024
2800,37415,48059112
2900,38935,51844124
3000,40426,55811740
3100,41929,59955781
3200,44057,64282416
3300,46442,68810463
3400,48348,73551272
3500,50167,78490669
3600,52258,83650040
3700,54276,89009415
3800,55585,94522928
3900,57655,100219565
4000,60163,106135899
4100,61155,112248582
4200,64425,118600563
4300,66507,125163101
4400,68912,131920697
4500,70884,138971056
4600,72016,146117171
4700,74780,153477857
4800,76386,161065089
4900,78952,168833671
5000,80708,176847774
5100,82071,185056123
5200,84678,193466299
5300,87304,202133214
5400,88891,210954161
5500,90221,219992058
5600,93126,229220900
5700,95334,238675799
5800,97951,248393501
5900,100532,258286615
6000,102525,268429455
6100,103940,278737346
6200,106118,289270446
6300,108211,300045086
6400,108995,311010304
6500,113190,322219077
6600,114940,333611095
6700,118424,345199137
6800,118730,357034847
6900,120232,369068016
7000,123764,381305078
7100,123293,393715268
7200,127009,406383172
7300,129841,419291899
7400,132489,432418067
7500,134339,445740176
7600,136227,459251460
7700,138369,472937985
7800,139526,486870612
7900,140784,501015482
8000,145583,515343314
8100,146154,529973321
8200,146474,544653744
8300,152567,559663607
8400,153036,574902335
8500,155778,590331547
8600,157583,605988709
8700,156826,621806624
8800,162781,637833960
8900,163778,654050079
9000,166427,670448104
9100,169373,687054231
9200,168929,703822249
9300,172504,720860486
9400,175454,738126169
9500,176006,755577759
9600,178042,773222231
9700,181291,791018143
9800,182325,809039474
9900,183397,827328457
10000,182911,845465046
10100,183543,863791670
10200,185295,882270853
10300,189440,901026943
10400,190845,920101040
10500,195210,939301479
10600,196188,958759783
10700,197086,978363893
10800,200255,998174583
10900,202196,1018219524
11000,202797,1038425486
11100,206515,1058870666
11200,208742,1079455745
11300,211052,1100287827
11400,212973,1121381795
11500,212782,1142857248
11600,218698,1164327671
11700,216837,1185954565
11800,221641,1207780598
11900,220565,1229841869
12000,224828,1252083298
12100,226723,1274565153
12200,226925,1297196230
12300,230557,1320042126
12400,234082,1343316587
12500,236045,1366770918
12600,237862,1390377063
12700,240663,1414190770
12800,238681,1438182507
12900,245641,1462464557
13000,247032,1486898992
13100,248056,1511493397
13200,251011,1536185568
13300,249254,1561139321
13400,254950,1586476031
13500,255590,1611993072
13600,258973,1637696457
13700,261419,1663564393
13800,262135,1689601475
13900,264247,1715995869
14000,266467,1742432364
14100,269408,1769097983
14200,269572,1795922540
14300,271905,1822909799
14400,274274,1850243930
14500,277655,1877843701
14600,279968,1905563486
14700,281680,1933549600
14800,283316,1961659093
14900,285462,1989987090
15000,288638,2018577539
15100,287868,2047323884
15200,292365,2076273124
15300,293715,2105359813
15400,298384,2134692639
15500,299288,2164341176
15600,298750,2194099118
15700,301005,2224099662
15800,303625,2254252398
15900,305788,2284602513
16000,309336,2315167196
16100,307461,2345947182
16200,311092,2376915834
16300,311468,2408103696
16400,313252,2439547340
16500,320394,2471432117
16600,324069,2503508253
16700,323107,2535742386
16800,326629,2568162722
16900,325953,2600689207
17000,331729,2633581473
17100,331372,2666571606
17200,335518,2699727969
17300,336553,2733024823
17400,333675,2766400866
17500,340991,2800322249
17600,343252,2834326452
17700,345076,2868525848
17800,349128,2902968903
17900,344858,2937433067
18000,351840,2972279193
18100,349831,3007206476
18200,356249,3042310812
18300,354391,3077577363
18400,357912,3113050410
18500,361646,3148955618
18600,365523,3185140862
18700,366688,3221440110
18800,367614,3257940442
18900,366803,3294540790
19000,371049,3331386943
19100,370785,3368470733
19200,376630,3405680953
19300,376883,3443166211
19400,377453,3480822683
19500,384065,3518852978
19600,385360,3557069387
19700,382205,3595320552
19800,385370,3633843281
19900,387579,3672491854
20000,394563,3711388951
20100,395612,3750498023
20200,392049,3789778386
20300,394737,3829278322
20400,433332,3869842560
20500,404364,3909860753
20600,406377,3950262947
20700,404820,3990809223
20800,411535,4031494088
20900,410588,4072460915
21000,412840,4113420778
21100,413207,4154822311
21200,416943,4196274881
21300,418691,4237899656
21400,420394,4279701332
21500,419859,4321623136
21600,427135,4364080234
21700,428107,4406585753
21800,430492,4449303895
21900,432339,4492176945
22000,430265,4535172523
22100,436536,4578550894
22200,434300,4622016416
22300,436532,4665676514
22400,443101,4709603670
22500,441953,4753643766
22600,448540,4798166840
22700,446973,4842827061
22800,453677,4887638097
22900,450454,4932657882
23000,450830,4977895764
23100,454109,5023357902
23200,459759,5068997023
23300,461404,5114784061
23400,460427,5160811679
23500,461135,5207004513
23600,469966,5253641159
23700,469462,5300328384
23800,468745,5347213994
23900,469872,5394308459
24000,476251,5441576584
24100,476139,5489124349
24200,480283,5536809983
24300,479391,5584717813
24400,482629,5633000896
24500,482980,5681388618
24600,489408,5730155268
24700,489580,5779311232
24800,497625,5828596442
24900,497673,5878238584
25000,498895,5927807243
25100,503630,5977438572
25200,503370,6027518962
25300,502196,6077645076
25400,503485,6127860511
25500,503042,6178253432
25600,508583,6228867575
25700,514646,6280022547
25800,515519,6331164772
25900,513906,6382533481
26000,517862,6434175130
26100,514529,6485774629
26200,519690,6537845231
26300,520761,6589908045
26400,527711,6642200172
26500,528915,6694675365
26600,524408,6747320258
26700,533067,6800142332
26800,537473,6853494642
26900,540506,6906932630
27000,535264,6960528244
27100,537836,7014292155
27200,547517,7068430256
27300,544554,7122711256
27400,549432,7177098750
27500,544427,7231691880
27600,547527,7286442859
27700,553026,7341686900
27800,554409,7397009919
27900,555048,7452454742
28000,558885,7508171433
28100,558853,7563984509
28200,562863,7620179281
28300,563794,7676449585
28400,565077,7732838616
28500,565429,7789526980
28600,567359,7846404164
28700,577163,7903737458
28800,576730,7961309591
28900,628536,8019106828
29000,583363,8077256697
29100,581175,8135266175
29200,588365,8193417680
29300,584811,8252177432
29400,588373,8310808178
29500,587502,8369593892
29600,594625,8428576807
29700,598067,8487776043
29800,596809,8547417604
29900,597661,8606998257
30000,600937,8666904247
30100,600903,8726907558
30200,602549,8787163976
30300,605324,8847775287
30400,610237,8908466377
30500,642173,8969423384
30600,610522,9030462156
30700,615906,9091781423
30800,619985,9153578351
30900,625244,9217157124
31000,621734,9279635732
31100,621104,9341763736
31200,624807,9404090746
31300,628198,9466868197
31400,629186,9529632488
31500,630648,9592590785
31600,633016,9655720037
31700,634394,9719131427
31800,637893,9782881522
31900,637539,9846742235
32000,646238,9910826603
32100,642962,9975081097
32200,645823,10039729523
32300,646737,10104509374
32400,650015,10169396322
32500,652068,10234562157
32600,650660,10299999140
32700,657709,10365668091
32800,658964,10431776601
32900,664465,10498198105
33000,666704,10564775287
33100,668200,10631669129
33200,672337,10698397871
33300,675448,10765229824
33400,671312,10832496566
33500,670372,10899488150
33600,681883,10966952394
33700,679188,11034572410
33800,683855,11102236503
33900,681641,11170587067
34000,688618,11239129188
34100,685651,11307704963
