N,T,Total_T
100,100,11960
200,154,22489
300,119,33690
400,120,44466
500,91,55799
600,150,67027
700,118,77382
800,19,83179
900,21,84888
1000,20,86591
1100,15,88327
1200,15,90023
1300,19,91695
1400,23,93442
1500,14,95163
1600,19,96850
1700,29,98649
1800,28,100373
1900,15,102032
2000,19,103730
2100,21,105429
2200,16,107101
2300,20,108768
2400,28,110460
2500,16,112137
2600,15,113870
2700,15,116866
2800,29,118607
2900,24,120304
3000,23,122065
3100,20,123709
3200,15,125352
3300,16,127036
3400,15,128694
3500,15,130374
3600,15,132105
3700,15,133832
3800,23,135569
3900,24,137233
4000,15,138907
4100,18,140668
4200,21,142318
4300,15,143971
4400,14,145659
4500,16,147297
4600,19,148985
4700,15,150709
4800,20,152386
4900,22,154139
5000,20,155871
5100,15,157531
5200,15,159221
5300,15,160891
5400,14,162548
5500,14,164223
5600,29,165956
5700,21,167692
5800,24,169325
5900,15,171019
6000,15,172691
6100,24,174367
6200,20,176034
6300,20,177709
6400,15,179376
6500,16,194727
6600,14,196426
6700,26,198154
6800,20,199822
6900,15,201453
7000,26,203117
7100,20,204810
7200,30,206515
7300,15,208208
7400,19,209888
7500,20,211560
7600,21,213255
7700,21,214961
7800,19,216615
7900,23,218338
8000,29,220042
8100,24,221744
8200,19,223485
8300,19,225178
8400,19,226905
8500,14,228583
8600,35,230321
8700,16,231993
8800,17,233681
8900,20,235301
9000,20,236924
9100,19,238614
9200,19,240298
9300,15,242006
9400,24,243689
9500,19,245362
9600,17,247044
9700,20,248669
9800,16,250380
9900,19,252041
10000,20,253734
10100,28,255382
10200,16,257029
10300,14,258729
10400,34,260459
10500,26,262183
10600,20,263869
10700,15,265542
10800,19,267217
10900,15,268876
11000,15,270515
11100,15,272224
11200,20,273961
11300,24,275637
11400,15,277270
11500,24,278931
11600,24,280606
11700,15,282257
11800,25,283939
11900,15,285589
12000,15,287239
12100,16,288878
12200,34,290602
12300,15,292347
12400,24,294022
12500,15,295704
12600,20,297384
12700,19,299064
12800,49,300729
12900,20,302405
13000,19,304036
13100,15,305685
13200,20,307326
13300,15,308992
13400,15,310671
13500,15,312321
13600,15,313963
13700,16,315662
13800,19,317353
13900,20,318987
14000,25,320690
14100,26,322384
14200,15,324036
14300,20,325727
14400,15,327442
14500,20,329138
14600,22,330793
14700,16,332417
14800,20,334136
14900,16,335790
15000,19,337405
15100,31,339085
15200,19,340751
15300,30,342393
15400,14,344122
15500,14,345764
15600,14,347408
15700,15,349075
15800,19,350747
15900,21,352411
16000,34,354088
16100,20,355779
16200,19,357399
16300,26,359163
16400,19,360888
16500,20,362640
16600,19,364346
16700,24,366074
16800,15,367794
16900,15,369483
17000,16,371182
17100,15,372895
17200,23,374592
17300,20,376281
17400,30,378004
17500,16,379665
17600,20,381337
17700,21,382979
17800,15,384598
17900,15,386274
18000,15,387922
18100,16,389633
18200,20,391269
18300,19,392984
18400,30,394673
18500,19,396381
18600,14,398102
18700,19,399816
18800,25,401527
18900,15,403259
19000,16,404917
19100,16,406625
19200,46,408324
19300,21,409947
19400,15,411587
19500,31,413248
19600,31,414969
19700,18,416637
19800,24,418366
19900,16,420060
20000,15,421727
20100,15,423348
20200,15,424988
20300,25,426613
20400,24,428307
20500,15,430047
20600,24,431727
20700,20,433383
20800,24,435073
20900,20,436733
21000,15,438450
21100,15,440173
21200,16,441833
21300,14,443469
21400,16,445152
21500,21,446813
21600,15,448487
21700,15,450148
21800,16,451764
21900,15,453420
22000,15,455074
22100,26,456771
22200,14,458472
22300,26,460278
22400,20,461971
22500,20,463709
22600,20,465372
22700,16,467027
22800,15,468736
22900,15,470356
23000,25,472051
23100,15,473673
23200,24,475352
23300,15,477054
23400,15,478725
23500,24,480362
23600,15,482012
23700,15,483730
23800,15,485406
23900,14,487036
24000,25,488716
24100,19,490453
24200,30,492129
24300,15,493826
24400,14,495503
24500,22,497211
24600,30,498995
24700,21,500724
24800,16,502413
24900,15,504122
25000,15,505779
25100,16,507473
25200,15,509165
25300,24,510860
25400,19,512523
25500,14,514175
25600,19,515815
25700,21,517512
25800,15,519249
25900,21,520949
26000,25,522605
26100,24,524283
26200,35,525966
26300,20,527652
26400,14,529307
26500,21,531013
26600,19,532729
26700,16,534438
26800,31,536124
26900,15,537835
27000,15,539523
27100,15,541256
27200,16,542939
27300,15,544576
27400,25,546315
27500,31,547941
27600,18,549620
27700,16,551311
27800,20,552979
27900,19,554698
28000,15,556378
28100,31,558096
28200,21,559774
28300,15,561469
28400,29,563137
28500,15,564808
28600,20,566458
28700,16,568173
28800,25,569855
28900,20,571515
29000,15,573184
29100,15,574842
29200,14,576548
29300,20,578183
29400,19,579842
29500,15,581547
29600,20,583189
29700,15,584863
29800,16,586560
29900,19,588207
30000,15,589901
30100,14,591538
30200,15,593141
30300,16,594876
30400,16,596578
30500,19,598271
30600,20,599920
30700,15,601599
30800,14,603281
30900,20,604908
31000,15,606579
31100,20,608254
31200,16,609902
31300,16,611584
31400,20,613277
31500,15,614999
31600,21,616648
31700,14,618344
31800,24,620060
31900,16,621704
32000,21,623359
32100,14,624996
32200,29,626651
32300,24,628357
32400,15,630030
32500,14,631758
32600,20,633479
32700,29,635221
32800,19,637036
32900,19,638818
33000,34,640550
33100,15,642234
33200,24,644015
33300,15,645689
33400,19,647451
33500,15,649117
33600,25,650800
33700,14,652502
33800,15,654150
33900,19,655839
34000,14,657544
34100,23,659226
34200,20,660912
34300,15,662606
34400,15,664307
34500,15,666030
34600,14,667783
34700,15,669443
34800,19,671047
34900,14,672752
35000,15,674430
35100,15,676108
35200,21,677781
35300,20,679404
35400,15,681118
35500,20,682803
35600,19,684449
35700,15,686063
35800,19,687712
35900,15,689401
