N,T,Total_T
100,62,5165
200,81,9637
300,69,13853
400,73,18048
500,65,22191
600,78,26434
700,56,30281
800,65,34407
900,52,38497
1000,92,43153
1100,77,47758
1200,84,51864
1300,68,56230
1400,71,60227
1500,68,64460
1600,96,68769
1700,59,72797
1800,54,77015
1900,63,81038
2000,74,85431
2100,71,90079
2200,73,94155
2300,82,98277
2400,71,102267
2500,60,106347
2600,70,110502
2700,54,114367
2800,98,118314
2900,58,122346
3000,93,126478
3100,63,131042
3200,114,135127
3300,58,139037
3400,73,143211
3500,61,147325
3600,104,152009
3700,51,156032
3800,77,160238
3900,72,164573
4000,90,169142
4100,89,174048
4200,47,178341
4300,53,182394
4400,56,186428
4500,47,190422
4600,96,194581
4700,50,198566
4800,104,202520
4900,46,206529
5000,56,210633
5100,69,214822
5200,72,219253
5300,50,223186
5400,57,227382
5500,76,231430
5600,103,235781
5700,54,240006
5800,52,244071
5900,48,248488
6000,94,252661
6100,74,257185
6200,92,262076
6300,50,266237
6400,107,270479
6500,57,274547
6600,88,278811
6700,67,283245
6800,73,287302
6900,69,291454
7000,61,295789
7100,104,300224
7200,84,305008
7300,74,309297
7400,76,313496
7500,74,317838
7600,89,322084
7700,114,326924
7800,82,331118
7900,66,335459
8000,118,340134
8100,59,344780
8200,90,349955
8300,90,354590
8400,73,358967
8500,60,363173
8600,106,367319
8700,75,371567
8800,86,375674
8900,50,379731
9000,50,383908
9100,57,388030
9200,107,392320
9300,56,396619
9400,59,400543
9500,57,404628
9600,102,408645
9700,64,412811
9800,58,417034
9900,72,421090
10000,83,425469
10100,64,429734
10200,107,434314
10300,50,439011
10400,76,443329
10500,67,447507
10600,93,451698
10700,61,455872
10800,82,460251
10900,67,464225
11000,89,468492
11100,54,472676
11200,107,477136
11300,60,481929
11400,66,486142
11500,62,490253
11600,84,494583
11700,68,498877
11800,79,503514
11900,65,507737
12000,100,512156
12100,59,516725
12200,87,521322
12300,76,526635
12400,101,531197
12500,63,535480
12600,86,539711
12700,52,544030
12800,137,548539
12900,50,552824
13000,50,558548
13100,88,563561
13200,91,568481
13300,56,573206
13400,51,578413
13500,84,582948
13600,98,587511
13700,57,592009
13800,90,596472
