N,T,Total_T
0,64,64
100,15,1516
200,14,2974
300,15,4421
400,14,5883
500,14,7330
600,14,8791
700,14,10245
800,15,11708
900,15,13160
1000,14,14614
1100,15,16071
1200,14,17525
1300,15,18981
1400,16,20428
1500,15,21879
1600,14,23332
1700,14,24799
1800,15,26255
1900,14,27705
2000,14,29159
2100,14,30617
2200,15,32068
2300,15,33517
2400,14,34971
2500,15,36433
2600,15,37894
2700,14,39344
2800,14,40784
2900,14,42236
3000,15,43709
3100,15,45175
3200,14,46641
3300,15,48091
3400,14,49550
3500,15,51011
3600,14,52463
3700,15,53919
3800,14,55379
3900,14,56835
4000,14,58298
4100,15,59763
4200,14,61212
4300,15,62672
4400,14,64127
4500,14,65575
4600,14,67027
4700,15,68487
4800,14,69936
4900,14,71380
5000,15,72840
5100,14,74292
5200,14,75744
5300,14,77186
5400,14,78644
5500,15,80097
5600,15,81568
5700,15,83021
5800,14,84481
5900,14,85930
6000,14,87392
6100,14,88849
6200,15,90296
6300,14,91741
6400,14,93198
6500,14,94652
6600,14,96101
6700,14,97554
6800,14,99009
6900,14,100492
7000,15,101950
7100,15,103405
7200,14,104867
7300,14,106327
7400,14,107794
7500,14,109250
7600,15,110706
7700,14,112162
7800,15,113642
7900,14,115114
8000,15,116572
8100,15,118033
8200,14,119491
8300,14,120941
8400,14,122396
8500,14,123848
8600,15,125303
8700,14,126764
8800,14,128212
8900,14,129672
9000,14,131121
9100,15,132576
9200,15,134038
9300,15,135494
9400,15,136945
9500,14,138400
9600,15,139862
9700,14,141313
9800,15,142767
9900,15,144235
10000,14,145686
10100,14,147138
10200,15,148590
10300,14,150054
10400,15,151512
10500,14,152962
10600,15,154401
10700,15,155858
10800,15,157312
10900,14,158814
11000,15,160260
11100,14,161709
11200,15,163168
11300,14,164620
11400,14,166077
11500,14,167530
11600,14,168981
11700,15,170430
11800,14,171888
11900,14,173348
12000,15,174807
12100,14,176266
12200,15,177722
12300,15,179185
12400,15,180644
12500,14,182103
12600,15,183563
12700,15,185018
12800,15,186478
12900,15,187949
13000,15,189409
13100,14,190865
13200,14,192324
13300,15,193788
13400,15,195244
13500,15,196703
13600,14,198164
13700,15,199625
13800,16,201085
13900,16,202534
14000,14,203988
14100,15,205449
14200,14,206916
14300,15,208388
14400,14,209862
14500,15,211300
14600,15,212774
14700,14,214235
14800,14,215698
14900,15,217144
15000,14,218612
15100,15,220075
15200,15,221543
15300,15,223010
15400,15,224467
15500,15,225932
15600,14,227397
15700,15,228857
15800,14,230321
15900,15,231784
16000,15,233243
16100,15,234695
16200,15,236154
16300,14,237625
16400,14,239101
16500,14,240558
16600,14,242018
16700,14,243470
16800,14,244928
16900,15,246391
17000,15,247848
17100,15,249310
17200,15,250762
17300,14,252211
17400,14,253664
17500,14,255121
17600,15,256580
17700,15,258036
17800,14,259496
17900,14,260966
18000,15,262429
18100,14,263894
18200,15,265352
18300,15,266822
18400,15,268284
18500,14,269747
18600,15,271203
18700,15,272659
18800,15,274122
18900,14,275578
19000,15,277060
19100,15,278528
19200,14,279997
19300,15,281469
19400,14,282937
19500,14,284390
19600,15,285857
19700,15,287317
19800,15,288787
19900,15,290243
20000,15,291709
20100,14,293169
20200,15,294634
20300,14,296087
20400,15,297554
20500,14,299020
20600,15,300477
20700,15,301932
20800,16,303385
20900,15,304854
21000,15,306314
21100,14,307778
21200,14,309227
21300,14,310677
21400,14,312132
21500,14,313589
21600,14,315039
21700,14,316491
21800,15,317949
21900,14,319402
22000,16,320870
22100,15,322320
22200,15,323780
22300,14,325238
22400,14,326693
22500,15,328158
22600,14,329609
22700,14,331072
22800,15,332529
22900,14,333986
23000,15,335448
23100,14,336907
23200,14,338387
23300,14,339848
23400,15,341306
23500,15,342767
23600,14,344227
23700,14,345685
23800,15,347136
23900,16,348605
24000,16,350077
24100,14,351553
24200,15,353007
24300,15,354482
24400,15,355978
24500,15,357444
24600,14,358898
24700,14,360348
24800,15,361803
24900,16,363263
25000,14,364726
25100,15,366191
25200,14,367640
25300,15,369099
25400,14,370551
25500,14,372005
25600,15,373473
25700,15,374933
25800,14,376385
25900,14,377856
26000,16,379325
26100,14,380792
26200,15,382249
26300,14,383709
26400,14,385182
26500,14,386653
26600,15,388142
26700,14,389617
26800,14,391082
26900,15,392544
27000,15,394005
27100,15,395467
27200,14,396929
27300,14,398388
27400,14,399836
27500,14,401289
27600,15,402753
27700,14,404211
27800,14,405669
27900,15,407129
28000,15,408580
28100,15,410043
28200,14,411500
28300,14,412964
28400,15,414422
28500,16,415891
28600,14,417359
28700,14,418823
28800,14,420275
28900,15,421742
29000,14,423200
29100,15,424660
29200,15,426111
29300,14,427574
29400,14,429032
29500,15,430490
29600,15,431947
29700,14,433416
29800,15,434883
29900,14,436347
30000,14,437814
30100,15,439284
30200,15,440756
30300,14,442230
30400,14,443696
30500,14,445165
30600,15,446631
30700,15,448098
30800,15,449551
30900,16,451020
31000,15,452488
31100,16,453942
31200,15,455421
31300,15,456893
31400,15,458386
31500,15,459876
31600,14,461375
31700,14,462878
31800,14,464354
31900,15,465817
32000,15,467285
32100,15,468749
32200,14,470214
32300,14,471680
32400,14,473144
32500,15,474615
32600,14,476085
32700,15,477543
32800,15,479010
32900,15,480458
33000,16,481929
33100,16,483377
33200,14,484840
33300,14,486294
33400,14,487754
33500,15,489222
33600,15,490679
33700,15,492135
33800,14,493590
33900,14,495040
34000,14,496499
34100,14,497958
34200,15,499405
34300,14,500875
34400,14,502344
34500,15,503801
34600,14,505250
34700,15,506710
34800,14,508175
34900,14,509624
35000,14,511088
35100,14,512553
35200,14,514016
35300,14,515471
35400,15,516930
35500,14,518380
35600,15,519843
35700,14,521302
35800,14,522771
35900,15,524234
36000,14,525698
36100,15,527156
36200,14,528617
36300,14,530076
36400,14,531533
36500,15,532994
36600,15,534461
36700,14,535919
36800,14,537383
36900,15,538846
37000,15,540311
37100,15,541759
37200,14,543217
37300,14,544675
37400,15,546134
37500,14,547592
37600,15,549044
37700,15,550502
37800,15,551952
37900,15,553411
38000,14,554875
38100,14,556330
38200,15,557802
38300,15,559270
38400,14,560726
38500,14,562182
38600,15,563645
38700,15,565113
38800,14,566563
38900,15,568018
39000,15,569473
39100,14,570942
39200,15,572410
39300,14,573863
39400,14,575315
39500,15,576774
39600,15,578233
39700,14,579683
39800,14,581148
39900,15,582617
40000,14,584085
40100,14,585550
40200,14,587012
40300,14,588471
40400,13,589932
40500,14,591402
40600,15,592866
40700,14,594338
40800,15,595811
40900,15,597312
41000,14,598807
41100,14,600260
41200,14,601719
41300,14,603184
41400,15,604648
41500,14,606102
41600,14,607562
41700,15,609020
41800,15,610485
41900,14,611954
42000,14,613414
42100,14,614880
42200,14,616340
42300,14,617803
42400,14,619261
42500,15,620732
42600,14,622194
42700,14,623656
42800,14,625129
42900,14,626593
43000,15,628062
43100,16,629520
43200,15,630978
43300,14,632439
43400,14,633898
43500,15,635359
43600,14,636820
43700,15,638290
43800,16,639757
43900,15,641230
44000,14,642702
44100,14,644163
44200,15,645618
44300,15,647078
44400,14,648552
44500,15,650008
44600,14,651492
44700,15,652951
44800,15,654425
44900,14,655912
45000,14,657417
45100,14,658902
45200,15,660369
45300,14,661819
45400,15,663286
45500,15,664751
45600,16,666217
45700,15,667674
45800,14,669136
45900,15,670600
46000,15,672060
46100,13,673522
46200,15,674986
46300,14,676450
46400,14,677905
46500,15,679379
46600,14,680858
46700,14,682317
46800,15,683788
46900,15,685278
47000,15,686746
47100,15,688263
47200,14,689723
47300,14,691176
47400,15,692637
47500,16,694110
47600,16,695591
47700,14,697058
47800,14,698520
47900,14,699999
48000,15,701483
48100,15,702978
48200,15,704449
48300,15,705924
48400,14,707415
48500,14,708879
48600,15,710383
48700,15,711860
48800,15,713342
48900,14,714855
49000,14,716325
49100,15,717811
49200,15,719279
49300,15,720731
49400,15,722193
49500,14,723653
49600,16,725112
49700,14,726560
49800,14,728017
49900,14,729468
50000,14,730934
50100,14,732395
50200,14,733853
50300,15,735309
50400,14,736773
50500,14,738244
50600,15,739702
50700,14,741161
50800,14,742615
50900,14,744076
51000,14,745534
51100,14,746988
51200,15,748494
51300,14,749957
51400,15,751415
51500,14,752870
51600,15,754332
51700,14,757015
51800,15,758469
51900,14,759930
52000,14,761382
52100,14,762842
52200,14,764329
52300,14,765817
52400,15,767283
52500,14,768746
52600,15,770205
52700,15,771661
52800,15,773119
52900,14,774584
53000,14,776041
53100,15,777499
53200,15,778961
53300,15,780421
53400,15,781887
53500,15,783346
53600,15,784800
53700,14,786266
53800,14,787720
53900,15,789185
54000,14,790646
54100,15,792115
54200,15,793581
54300,14,795039
54400,14,796489
54500,14,797950
54600,15,799402
54700,14,800856
54800,16,802340
54900,14,803793
55000,16,805262
55100,15,806722
55200,14,808191
55300,15,809706
55400,15,811157
55500,15,812623
55600,15,814085
55700,16,815554
55800,14,817038
55900,15,818499
56000,14,819966
56100,14,821429
56200,14,822892
56300,15,824348
56400,16,825807
56500,14,827272
56600,15,828736
56700,15,830198
56800,14,831665
56900,14,833138
57000,15,834626
57100,14,836113
57200,14,837586
57300,16,839088
57400,14,840551
57500,15,841999
57600,15,843457
57700,15,844909
57800,13,846375
57900,15,847829
58000,14,849282
58100,14,850744
58200,15,852198
58300,14,853654
58400,14,855121
58500,15,856585
58600,14,858038
58700,14,859503
58800,14,860970
58900,14,862434
59000,15,863897
59100,14,865357
59200,14,866853
59300,15,868332
59400,14,869792
59500,15,871249
59600,15,872708
59700,15,874167
59800,14,875612
59900,15,877080
60000,15,878533
60100,14,879996
60200,14,881461
60300,15,882926
60400,15,884381
60500,15,885854
60600,14,887323
60700,14,888824
60800,14,890288
60900,15,891765
61000,15,893252
61100,15,894707
61200,15,896195
61300,14,897660
61400,15,899137
61500,15,900604
61600,14,902064
61700,14,903523
61800,14,904983
61900,14,906448
62000,14,907902
62100,14,909368
62200,14,910818
62300,15,912275
62400,14,913752
62500,14,915239
62600,15,916698
62700,15,918169
62800,15,919657
62900,14,921158
63000,14,922626
63100,14,924116
63200,14,925615
63300,15,927113
63400,15,928588
63500,14,930084
63600,15,931539
63700,15,933025
63800,15,934497
63900,14,935960
64000,15,937446
64100,14,938928
64200,15,940452
64300,14,941970
64400,14,943489
64500,14,945014
64600,16,946488
64700,14,947946
64800,14,949409
64900,14,950878
65000,14,952338
65100,14,953798
65200,14,955261
65300,16,956733
65400,14,958203
65500,15,959673
65600,15,961133
65700,14,962594
65800,14,964045
65900,15,965505
66000,15,966964
66100,15,968430
66200,16,969899
66300,15,971357
66400,14,972797
66500,14,974244
66600,15,975710
66700,14,977165
66800,15,978619
66900,14,980075
67000,15,981532
67100,14,982990
67200,14,984448
67300,15,985906
67400,16,987369
67500,15,988834
67600,15,990298
67700,14,991748
67800,14,993204
67900,15,994667
68000,14,996119
68100,14,997579
68200,15,999036
68300,14,1000493
68400,14,1001960
68500,16,1003414
68600,15,1004879
68700,15,1006340
68800,14,1007786
68900,14,1009242
69000,15,1010701
69100,15,1012169
69200,14,1013622
69300,14,1015076
69400,15,1016531
69500,14,1017995
69600,15,1019459
69700,15,1020922
69800,15,1022380
69900,15,1023826
70000,14,1025279
70100,14,1026742
70200,15,1028198
70300,15,1029646
70400,15,1031106
70500,15,1032567
70600,14,1034026
70700,14,1035484
70800,14,1036940
70900,14,1038405
71000,15,1039866
71100,15,1041323
71200,15,1042774
71300,14,1044238
71400,15,1045698
71500,15,1047154
71600,15,1048625
71700,15,1050089
71800,14,1051537
71900,15,1052995
72000,15,1054460
72100,15,1055924
72200,14,1057377
72300,15,1058833
72400,15,1060294
72500,14,1061763
72600,15,1063228
72700,15,1064687
72800,14,1066154
72900,15,1067622
73000,15,1069087
73100,14,1070552
73200,14,1072015
73300,14,1073473
73400,15,1074933
73500,15,1076388
73600,15,1077843
73700,14,1079312
73800,14,1080762
73900,14,1082224
74000,15,1083679
74100,14,1085133
74200,15,1086594
74300,15,1088053
74400,14,1089511
74500,14,1090973
74600,15,1092439
74700,14,1093903
74800,15,1095358
74900,15,1096811
75000,15,1098277
75100,15,1099741
75200,15,1101207
75300,15,1102676
75400,16,1104139
75500,14,1105608
75600,15,1107061
75700,15,1108521
75800,15,1109986
75900,15,1111452
76000,14,1112907
76100,16,1114373
76200,14,1115833
76300,15,1117298
76400,15,1118758
76500,14,1120208
76600,15,1121663
76700,15,1123130
76800,14,1124600
