N,T,Total_T
100,41,8661
200,49,16897
300,101,24450
400,57,32573
500,52,40885
600,57,48045
700,59,55532
800,76,63892
900,161,71385
1000,66,79059
1100,56,87038
1200,56,94522
1300,49,102725
1400,80,109897
1500,74,116914
1600,82,125449
1700,43,134309
1800,58,142211
1900,49,150179
2000,80,158467
2100,57,168126
2200,78,175756
2300,128,183696
2400,85,190926
2500,66,197672
2600,53,205440
2700,51,212923
2800,82,221328
2900,56,229230
3000,93,237049
3100,54,245146
3200,61,252873
3300,71,260948
3400,62,268788
3500,48,276216
3600,77,284610
3700,50,291887
3800,83,299000
3900,64,306955
4000,83,315327
4100,83,323949
4200,54,331299
4300,53,339813
4400,53,347192
4500,52,355473
4600,95,364170
4700,88,371367
4800,92,379157
4900,44,387172
5000,78,395479
5100,166,404044
5200,72,412046
5300,46,419781
5400,104,427443
5500,121,435913
5600,94,444415
5700,97,453658
5800,72,461956
5900,56,469706
6000,81,477402
6100,78,485248
6200,82,494293
6300,54,502064
6400,98,509646
6500,71,518626
6600,57,527202
6700,45,534610
6800,64,541698
6900,78,550240
7000,62,557684
7100,84,566366
7200,84,575349
7300,62,583198
7400,114,591518
7500,61,599186
7600,79,607110
7700,54,616010
7800,81,623059
7900,117,631750
8000,99,639890
8100,58,648951
8200,80,658379
8300,80,667020
8400,71,675014
8500,44,682103
8600,63,688967
8700,69,698494
8800,84,705758
8900,66,713681
9000,74,721889
9100,55,730922
9200,98,738781
9300,156,746651
9400,80,754070
9500,56,761551
9600,88,769443
9700,59,777324
9800,57,785507
9900,164,793492
10000,73,803179
10100,65,812405
10200,69,822115
10300,63,830994
10400,70,839133
10500,134,846571
10600,167,854683
10700,58,864094
10800,111,871641
10900,74,879179
11000,74,886140
11100,66,893554
11200,96,901503
11300,138,910718
11400,74,918733
11500,58,926402
11600,77,934426
11700,71,942570
11800,83,950825
11900,73,959431
12000,96,967149
12100,82,975706
12200,206,984776
12300,183,994188
12400,82,1003164
12500,54,1010535
12600,82,1018917
12700,62,1026732
12800,109,1037306
12900,57,1046075
13000,59,1053636
13100,67,1061732
13200,60,1070816
13300,122,1078667
13400,73,1086266
13500,59,1095637
13600,174,1104499
13700,78,1111960
13800,63,1120918
13900,50,1128929
14000,70,1136790
14100,81,1145036
14200,90,1153276
14300,74,1161633
14400,91,1170384
14500,46,1178419
14600,68,1186531
14700,48,1195276
14800,74,1204821
14900,66,1213660
15000,52,1221046
15100,96,1230554
15200,88,1238648
15300,79,1247414
15400,72,1255421
15500,63,1262875
15600,96,1270982
15700,58,1280160
15800,66,1288945
15900,68,1300425
16000,107,1308064
16100,72,1316132
16200,252,1326920
16300,64,1336013
16400,91,1345609
16500,77,1353930
16600,83,1361909
16700,129,1369599
16800,67,1379993
16900,75,1389085
17000,47,1396998
17100,141,1404890
17200,82,1412881
17300,114,1420456
17400,99,1428196
17500,63,1435912
17600,77,1443509
17700,43,1451002
17800,64,1458396
17900,111,1466462
18000,65,1474597
18100,56,1482337
18200,97,1490096
18300,238,1498886
18400,162,1506572
18500,77,1515719
18600,79,1523566
18700,44,1531246
18800,89,1539741
18900,48,1547892
19000,82,1556321
19100,59,1563986
19200,115,1572124
19300,129,1580274
19400,52,1588566
19500,188,1598136
19600,60,1605991
19700,92,1614349
19800,79,1622027
19900,60,1630847
20000,80,1639234
20100,69,1646992
20200,59,1655426
20300,50,1664133
20400,95,1672200
20500,53,1680968
20600,92,1689259
20700,152,1697436
20800,91,1705386
20900,133,1713596
21000,168,1722171
21100,67,1730222
21200,79,1738224
21300,57,1745855
21400,72,1754906
21500,110,1763276
21600,91,1772031
21700,66,1779916
21800,75,1787859
21900,73,1795719
22000,97,1804299
22100,48,1811788
22200,122,1819779
22300,70,1828700
22400,112,1837635
22500,68,1845930
22600,79,1854876
22700,55,1863806
22800,81,1871903
22900,67,1880365
23000,76,1889385
23100,121,1898549
23200,91,1906244
23300,155,1913717
23400,78,1922122
23500,141,1930721
23600,97,1939928
23700,92,1948039
23800,261,1958032
23900,52,1966790
24000,107,1974695
24100,48,1983427
24200,74,1991824
24300,57,2000356
24400,81,2008713
24500,132,2016836
24600,179,2026959
24700,64,2035544
24800,108,2044391
24900,172,2053226
25000,50,2060966
25100,52,2068871
25200,93,2076494
25300,233,2085269
25400,92,2095072
25500,134,2104094
25600,121,2112530
25700,56,2120372
25800,73,2128460
25900,49,2137070
26000,69,2145733
26100,58,2154083
26200,116,2162426
26300,69,2172419
26400,87,2180541
26500,147,2189604
26600,88,2198027
26700,56,2207295
26800,60,2214802
26900,57,2222450
27000,89,2229955
27100,83,2238251
27200,98,2247414
27300,50,2255833
27400,85,2264232
27500,54,2272114
27600,91,2280463
27700,88,2289948
27800,70,2298350
27900,92,2307199
28000,98,2316424
28100,86,2325110
28200,74,2334903
28300,68,2343010
28400,103,2351804
28500,72,2360593
28600,97,2369304
28700,98,2378916
28800,84,2387669
28900,70,2396183
29000,66,2404550
29100,64,2413405
29200,81,2421130
29300,81,2429564
29400,64,2437620
29500,64,2446411
29600,68,2453950
29700,67,2463237
29800,68,2471702
29900,53,2479017
30000,71,2487456
30100,52,2497118
30200,142,2505721
30300,60,2514877
30400,90,2522700
30500,68,2531015
30600,127,2540109
30700,88,2548327
30800,93,2557281
30900,70,2566090
31000,63,2574442
31100,121,2582392
31200,101,2590043
31300,80,2598683
31400,65,2606344
31500,64,2615485
31600,100,2625389
31700,66,2634814
31800,83,2644186
31900,126,2653057
32000,108,2661538
32100,69,2669296
32200,78,2679263
32300,60,2688359
32400,73,2696970
32500,57,2706830
32600,58,2715441
32700,110,2724218
32800,91,2733817
32900,58,2742828
33000,77,2750281
33100,95,2759284
33200,83,2766493
33300,66,2775353
33400,79,2783784
33500,65,2792671
33600,94,2800961
33700,44,2808539
33800,63,2817204
33900,114,2825117
34000,117,2832247
34100,55,2839956
34200,47,2847848
34300,112,2856182
34400,84,2863846
34500,47,2874149
34600,67,2885118
34700,49,2892824
34800,88,2902049
34900,42,2909923
35000,70,2917515
35100,77,2925483
35200,106,2933823
35300,47,2944501
35400,56,2953223
35500,71,2963166
35600,66,2971524
35700,158,2979864
35800,62,2988428
35900,134,2996991
36000,179,3005241
36100,64,3013294
36200,79,3021452
36300,68,3029752
36400,134,3038877
36500,58,3047085
36600,86,3055058
36700,140,3062963
36800,105,3072427
36900,65,3081136
37000,61,3090469
37100,86,3098766
37200,66,3106684
37300,64,3114798
37400,121,3123443
37500,69,3130571
37600,91,3138601
37700,62,3146466
37800,77,3154930
37900,61,3163374
38000,69,3170997
38100,56,3178480
38200,86,3187720
38300,49,3194762
38400,122,3203549
38500,181,3212793
38600,69,3220890
38700,95,3229423
38800,75,3238091
38900,156,3247328
39000,80,3255076
39100,78,3262569
39200,75,3270327
39300,46,3278850
39400,171,3286581
39500,66,3295233
39600,70,3303539
39700,66,3311648
39800,74,3319471
39900,66,3328602
40000,88,3337114
40100,59,3345116
40200,128,3353757
40300,118,3361844
40400,91,3370571
40500,49,3379099
40600,77,3387505
40700,104,3396213
40800,81,3405456
40900,65,3414119
41000,72,3422912
41100,66,3431425
41200,111,3439829
41300,100,3448252
41400,84,3457025
41500,112,3466225
41600,94,3474062
41700,102,3482083
41800,76,3492862
41900,51,3500850
42000,83,3509802
42100,47,3518132
42200,76,3525751
42300,57,3534372
42400,81,3541800
42500,66,3549864
42600,71,3557709
42700,95,3566412
42800,53,3574715
42900,60,3583163
43000,102,3592080
43100,55,3600675
43200,96,3609745
43300,46,3618410
43400,58,3627179
43500,82,3635333
43600,93,3643460
43700,61,3651855
43800,83,3660315
43900,109,3669073
44000,108,3677945
44100,77,3690771
44200,50,3698517
44300,50,3707235
44400,94,3716871
44500,72,3725957
44600,101,3734357
44700,64,3744139
44800,113,3753024
44900,162,3761630
45000,66,3771619
45100,63,3780787
45200,57,3788771
45300,122,3798436
45400,81,3806373
45500,86,3814544
45600,93,3822943
45700,115,3830978
45800,179,3839336
45900,58,3848136
46000,101,3856354
46100,66,3865088
46200,91,3873801
46300,52,3882769
46400,98,3891371
46500,61,3900032
46600,80,3908554
46700,62,3916545
46800,72,3924799
46900,53,3933116
47000,65,3941804
47100,106,3950940
47200,121,3959657
47300,76,3966921
47400,81,3975353
47500,164,3983040
47600,105,3991465
47700,136,3999278
47800,66,4008058
47900,65,4016070
48000,102,4023953
48100,57,4033889
48200,122,4043148
48300,63,4051685
48400,78,4060503
48500,78,4069271
48600,75,4079489
48700,218,4088938
48800,76,4097865
48900,158,4106753
49000,80,4116241
49100,69,4125614
49200,79,4134395
49300,63,4143180
49400,88,4152305
49500,56,4160223
49600,94,4169605
49700,84,4178963
49800,69,4186713
49900,60,4195302
50000,80,4203505
50100,59,4211758
50200,81,4220780
50300,168,4228090
50400,94,4235792
50500,83,4244662
50600,60,4253042
50700,54,4262362
50800,77,4269513
50900,112,4277031
51000,80,4287246
51100,62,4294736
51200,147,4303926
51300,56,4312795
51400,78,4321671
51500,65,4330980
51600,77,4339340
51700,52,4348191
51800,71,4355570
51900,54,4363530
52000,94,4371974
52100,72,4379740
52200,79,4387978
52300,101,4397868
52400,73,4406493
52500,145,4417032
52600,81,4426996
52700,73,4434833
52800,93,4443301
52900,100,4451068
53000,59,4459160
53100,87,4467504
53200,81,4476994
53300,109,4487070
53400,84,4495674
53500,78,4504075
53600,95,4511981
53700,65,4520235
53800,59,4529332
53900,58,4536874
54000,96,4545925
54100,52,4554855
54200,65,4563120
54300,78,4572419
54400,100,4580405
54500,143,4589855
54600,77,4598259
54700,52,4607180
54800,88,4615521
54900,64,4623610
55000,82,4631450
55100,71,4640522
55200,86,4649021
55300,87,4658111
55400,61,4666524
55500,58,4676058
55600,64,4684714
55700,102,4693718
55800,177,4702362
55900,71,4710894
56000,111,4722972
56100,81,4733914
56200,75,4741886
56300,146,4751150
56400,77,4760237
56500,76,4768994
56600,53,4778064
56700,84,4790613
56800,108,4798706
56900,59,4808226
57000,56,4818027
57100,75,4827233
57200,103,4835975
57300,173,4845221
57400,95,4854427
57500,88,4863198
57600,123,4872276
57700,55,4880315
57800,63,4888016
57900,86,4897362
58000,71,4906516
58100,479,4918285
58200,89,4930798
58300,72,4938784
58400,87,4947708
58500,128,4955737
58600,67,4963949
58700,58,4972460
58800,98,4980755
58900,66,4989385
59000,131,4997372
59100,67,5005393
59200,101,5013919
59300,62,5022644
59400,77,5032117
59500,98,5043618
59600,81,5053754
59700,67,5063674
59800,142,5072911
59900,102,5082826
60000,90,5090904
60100,52,5098840
60200,55,5109330
60300,59,5117258
60400,95,5126037
60500,50,5134557
60600,56,5143825
60700,68,5152572
60800,93,5160859
60900,71,5168909
61000,68,5178286
61100,54,5187108
61200,80,5196053
61300,128,5204648
61400,82,5214726
61500,205,5226139
61600,91,5235932
61700,153,5246013
61800,78,5257222
61900,417,5269572
62000,83,5278407
62100,76,5287130
62200,84,5295125
62300,71,5303402
62400,101,5312043
62500,139,5320205
62600,83,5328878
62700,56,5337725
62800,81,5346558
62900,67,5355144
63000,62,5365746
63100,75,5375958
63200,98,5383961
63300,70,5392214
63400,152,5401414
63500,84,5410786
63600,78,5419338
63700,62,5429747
63800,85,5438357
63900,81,5448569
64000,133,5457931
64100,78,5467775
64200,54,5476507
64300,61,5487794
64400,81,5497314
64500,86,5506660
64600,84,5515611
64700,60,5523459
64800,77,5532472
64900,77,5541327
65000,80,5549973
65100,56,5558837
65200,114,5567651
65300,112,5576898
65400,91,5585898
65500,88,5596361
65600,86,5605789
65700,50,5614141
