N,T,Total_T
0,3219,3219
100,324,55713
200,328,96559
300,299,136583
400,325,175989
500,311,216161
600,302,264615
700,395,303648
800,333,344216
900,293,384085
1000,315,424354
1100,291,479404
1200,298,522134
1300,296,568275
1400,390,606838
1500,373,646478
1600,328,687464
1700,307,730110
1800,301,776403
1900,375,816350
2000,307,858235
2100,300,899899
2200,302,938561
2300,323,981724
2400,306,1020753
2500,300,1059989
2600,299,1101243
2700,303,1140596
2800,329,1183941
2900,316,1224672
3000,322,1278205
3100,354,1324125
3200,283,1364494
3300,315,1407968
3400,310,1448063
3500,381,1488464
3600,300,1532364
3700,325,1572037
3800,318,1612622
3900,335,1658757
4000,360,1701802
4100,316,1751986
4200,304,1790622
4300,301,1829288
4400,343,1876694
4500,309,1915654
4600,388,1956168
4700,313,1995829
4800,343,2035749
4900,306,2076044
5000,315,2126811
5100,54,2157058
5200,48,2178799
5300,51,2198454
5400,48,2205154
5500,53,2211636
5600,64,2219784
5700,48,2226614
5800,57,2233246
5900,51,2240126
6000,52,2246961
6100,54,2254268
6200,48,2261834
6300,50,2268216
6400,46,2274824
6500,51,2281844
6600,50,2288495
6700,50,2295291
6800,49,2302074
6900,53,2310074
7000,686,2317826
7100,64,2324927
7200,48,2332204
7300,49,2338799
7400,52,2345563
7500,51,2352367
7600,52,2360089
7700,50,2367388
7800,60,2374469
7900,65,2381500
8000,52,2388899
8100,62,2396299
8200,50,2405179
8300,50,2411443
8400,55,2417836
8500,49,2424170
8600,49,2430554
8700,61,2437082
8800,54,2444043
8900,48,2450409
9000,49,2456880
9100,51,2463456
9200,52,2470380
9300,49,2476971
9400,50,2484704
9500,50,2491241
9600,48,2497820
9700,48,2504908
9800,49,2511601
9900,52,2518136
10000,50,2525614
10100,53,2532399
10200,63,2539502
10300,51,2546390
10400,55,2552887
10500,51,2560083
10600,51,2566502
10700,59,2573944
10800,49,2580704
10900,50,2587141
11000,61,2593959
11100,57,2601356
11200,50,2608469
11300,59,2615552
11400,50,2622216
11500,53,2628897
11600,60,2635698
11700,54,2643373
11800,51,2650613
11900,62,2657635
12000,52,2665382
12100,51,2672611
12200,63,2679936
12300,47,2688142
12400,48,2694574
12500,50,2701691
12600,51,2708354
12700,51,2715174
12800,52,2722098
12900,50,2729342
13000,51,2735987
13100,49,2742629
13200,51,2750237
13300,55,2757417
13400,55,2764853
13500,54,2771480
