N,T,Total_T
100,23,2280
200,16,4581
300,22,6891
400,16,9288
500,34,11698
600,23,13935
700,32,16318
800,16,18799
900,22,21335
1000,19,24027
1100,23,26352
1200,23,28782
1300,17,31247
1400,24,33628
1500,25,36202
1600,16,38761
1700,17,41048
1800,17,43631
1900,19,46037
2000,24,48740
2100,16,51226
2200,23,53574
2300,25,56246
2400,16,58530
2500,25,60890
2600,16,63293
2700,16,65908
2800,17,68558
2900,17,71345
3000,30,74200
3100,28,76986
3200,16,79453
3300,24,82112
3400,17,84747
3500,18,87235
3600,17,89905
3700,28,92359
3800,18,94899
3900,25,97719
4000,24,100716
4100,21,103676
4200,28,105826
4300,28,108218
4400,23,110849
4500,23,113461
4600,24,115928
4700,39,118548
4800,33,121400
4900,23,124052
5000,18,126754
5100,26,129515
5200,23,131992
5300,28,134531
5400,25,137021
5500,30,139783
5600,33,142470
5700,16,145188
5800,24,147957
5900,34,150636
6000,24,153510
6100,21,156265
6200,28,158826
6300,20,161230
6400,18,163784
6500,28,166335
6600,24,169248
6700,25,171862
6800,23,174630
6900,35,177435
7000,25,180149
7100,22,182915
7200,16,185649
7300,34,188354
7400,24,191080
7500,24,193814
7600,25,196459
7700,24,199368
7800,25,202029
7900,35,204946
8000,18,207825
8100,24,210819
8200,16,213683
8300,29,216131
8400,17,218764
8500,24,221241
8600,29,223423
8700,30,226249
8800,23,228861
8900,24,231240
9000,17,233764
9100,34,236398
9200,30,239163
9300,39,241802
9400,35,244674
9500,18,247326
9600,17,250012
9700,24,252735
9800,27,255151
9900,30,257935
10000,17,260766
10100,31,263789
10200,26,266612
10300,29,269464
10400,17,272088
10500,16,274992
10600,23,277525
10700,31,280079
10800,34,282633
10900,34,285357
11000,26,288223
11100,26,290857
11200,17,293746
11300,30,296590
11400,30,299180
11500,20,301811
11600,23,304296
11700,34,306962
11800,24,309664
11900,21,312385
12000,25,315317
12100,26,318489
12200,26,321285
12300,28,324379
12400,18,327082
12500,24,329835
12600,38,332498
12700,29,335194
12800,16,337848
12900,24,340501
13000,30,343270
13100,19,345964
13200,26,348603
13300,30,351476
13400,25,353896
13500,26,356492
13600,28,359554
13700,17,362385
13800,24,365112
13900,19,367828
14000,19,370637
14100,26,373498
14200,22,376534
14300,26,379551
14400,17,382339
14500,26,384845
14600,24,387602
14700,27,390031
14800,30,393117
14900,24,396062
15000,25,398934
15100,42,401778
15200,18,404611
15300,20,407580
15400,17,410216
15500,18,412839
15600,34,415912
15700,30,418699
15800,31,421932
15900,30,424947
16000,34,428139
16100,31,430957
16200,19,433785
16300,31,436694
16400,26,439883
16500,16,442355
16600,23,444808
16700,23,447322
16800,27,449904
16900,15,452730
17000,16,455085
17100,35,457361
17200,16,459790
17300,23,462439
17400,29,465298
17500,17,467531
17600,22,469986
17700,17,472818
17800,18,475264
17900,24,477854
18000,23,480615
18100,23,483235
18200,35,485926
18300,20,488622
18400,19,491629
18500,17,494279
18600,16,496873
18700,28,499768
18800,23,502543
18900,24,504969
19000,26,507502
19100,29,510311
19200,16,513052
19300,29,515732
19400,18,518291
19500,34,520962
19600,29,523484
19700,35,526114
19800,28,528851
19900,36,531598
20000,27,534363
20100,18,537222
20200,19,539853
20300,31,542387
20400,26,545122
20500,17,547916
20600,24,550392
20700,25,553195
20800,29,556074
20900,18,558880
21000,23,562007
21100,31,564793
21200,30,567895
21300,19,570847
21400,24,573687
21500,32,576425
21600,40,579047
21700,22,581886
21800,26,584657
21900,29,587418
22000,30,590354
22100,24,592908
22200,24,595706
22300,36,598497
22400,38,601419
22500,30,604239
22600,17,607147
22700,18,609503
22800,17,612072
22900,26,614725
23000,30,617525
23100,30,620064
23200,25,622620
23300,18,625728
23400,25,628398
23500,27,631490
23600,18,634457
23700,20,637062
23800,25,639820
23900,25,642528
24000,34,645507
24100,18,648273
24200,26,651027
24300,36,653982
24400,20,656986
24500,26,659977
24600,22,662889
24700,25,665579
24800,24,668294
24900,34,670863
25000,18,673287
25100,24,676359
25200,23,679174
25300,26,681972
25400,41,684823
25500,30,687447
25600,16,690219
25700,18,692495
25800,23,695160
25900,24,697849
26000,40,700552
26100,32,703475
26200,23,706067
26300,21,708797
26400,30,711660
26500,31,714604
26600,29,717397
26700,28,720123
26800,27,723085
26900,23,726032
27000,20,728751
27100,32,731523
27200,30,734260
27300,20,737168
27400,17,739859
27500,31,742616
27600,26,745595
27700,19,748409
27800,28,751169
27900,27,754209
28000,32,756999
28100,25,759803
28200,33,762655
28300,35,765498
28400,27,768548
28500,26,771534
28600,21,774456
28700,32,777453
28800,17,780281
28900,27,783032
29000,25,785759
29100,36,788480
29200,24,791583
29300,25,794319
29400,26,797066
29500,38,799731
29600,26,802524
29700,22,805602
29800,29,808425
29900,19,811201
30000,30,813992
30100,26,816971
30200,26,820069
30300,26,822749
30400,25,825574
30500,35,828323
30600,31,831329
30700,32,834518
30800,30,837582
30900,37,840483
31000,29,843299
31100,49,846392
31200,34,849455
31300,25,852351
31400,44,855299
31500,31,858578
31600,29,861593
31700,40,864700
31800,25,867944
31900,36,870760
32000,23,873621
32100,32,876740
32200,25,879727
32300,26,882881
32400,26,885754
32500,27,888581
32600,28,891603
32700,44,894680
32800,21,897523
32900,15,899908
33000,24,902528
33100,29,905200
33200,25,907645
33300,28,910153
33400,34,912682
33500,19,915221
33600,23,917829
33700,23,920298
33800,16,922956
33900,28,925567
34000,34,928376
34100,29,931138
34200,17,933963
34300,29,936745
34400,23,939547
34500,18,942211
34600,17,944922
34700,25,947553
34800,19,950360
34900,22,952972
35000,24,955714
35100,23,958346
35200,23,960933
35300,18,963568
35400,22,966057
35500,36,968566
35600,26,971217
35700,29,974181
35800,25,977021
35900,37,979603
