N,T,Total_T
0,732,732
100,366,77827
200,373,122029
300,450,168524
400,360,217914
500,615,288978
600,451,334834
700,639,386348
800,370,441105
900,438,497846
1000,602,558876
1100,447,608060
1200,449,658426
1300,452,713785
1400,593,769339
1500,689,837244
1600,61,880107
1700,85,902245
1800,72,912710
1900,111,922730
2000,97,933795
2100,74,943196
2200,72,951204
2300,115,960432
2400,74,968955
2500,86,978667
2600,71,988274
2700,86,997562
2800,98,1007718
2900,100,1017654
3000,113,1028594
3100,84,1039390
3200,60,1048680
3300,98,1058476
3400,86,1068589
3500,110,1079354
3600,72,1090856
3700,114,1101084
3800,111,1112177
3900,126,1123706
4000,98,1135709
4100,45,1148628
4200,73,1155931
4300,88,1164365
4400,71,1173241
4500,87,1182493
4600,114,1192848
4700,98,1201520
4800,70,1211256
4900,86,1221374
5000,86,1231943
5100,123,1243278
5200,71,1252481
5300,97,1262041
5400,87,1272319
5500,125,1282827
5600,98,1293977
5700,86,1304503
5800,101,1315206
5900,99,1326949
6000,112,1338412
6100,124,1350765
6200,87,1361394
6300,99,1370724
6400,59,1381692
6500,99,1391481
6600,98,1402521
6700,98,1413434
6800,86,1424067
6900,126,1435615
7000,111,1446879
7100,138,1459207
7200,75,1471194
7300,86,1481744
7400,113,1492951
7500,110,1504307
7600,112,1516466
7700,97,1529116
7800,124,1540831
7900,136,1553261
8000,99,1566089
8100,124,1579328
8200,46,1593160
8300,86,1600600
8400,73,1609044
8500,86,1617911
8600,87,1627215
8700,126,1637747
8800,73,1646304
8900,85,1656022
9000,86,1666180
9100,97,1676798
9200,113,1688232
9300,85,1697251
9400,98,1706897
9500,100,1717175
9600,73,1727781
9700,111,1738859
9800,87,1749301
9900,114,1760071
10000,86,1771743
10100,124,1783274
10200,125,1795682
10300,103,1821360
10400,74,1830897
10500,75,1841572
10600,100,1851690
10700,115,1862950
10800,89,1873996
10900,102,1884836
11000,128,1896757
11100,127,1908179
11200,101,1920831
11300,88,1932854
11400,87,1944936
11500,128,1956489
11600,102,1968064
11700,124,1993297
11800,97,2005936
11900,142,2017757
12000,111,2030213
12100,116,2042933
12200,124,2056213
12300,71,2069921
12400,88,2078777
12500,97,2088514
12600,98,2098740
12700,110,2109366
12800,59,2121280
12900,99,2131052
13000,98,2142103
13100,111,2153594
13200,98,2165517
13300,137,2178413
13400,102,2188628
13500,125,2199650
13600,86,2211199
13700,98,2223032
13800,122,2235594
13900,114,2247250
14000,114,2259416
14100,115,2272413
14200,139,2285450
14300,156,2299238
14400,74,2310875
14500,98,2321486
14600,83,2333270
14700,124,2344593
14800,111,2356985
14900,110,2369116
15000,111,2381016
15100,153,2394183
15200,113,2406679
15300,124,2420321
15400,101,2433350
15500,110,2445255
15600,125,2458035
15700,123,2470614
15800,138,2484216
15900,125,2498006
16000,98,2511251
16100,139,2524965
16200,125,2538961
16300,1794,2555299
16400,49,2587762
16500,86,2595526
16600,86,2603977
16700,100,2612910
16800,72,2622283
16900,61,2632744
17000,84,2641377
17100,97,2651147
17200,84,2661376
17300,98,2671926
17400,123,2683633
17500,98,2692416
17600,80,2702184
17700,85,2712308
17800,85,2722889
17900,125,2734258
18000,84,2744525
18100,111,2755366
18200,99,2767003
18300,141,2778853
18400,111,2791340
18500,74,2801375
18600,85,2810781
18700,87,2821202
18800,99,2831325
18900,113,2842388
19000,100,2853165
19100,111,2863833
19200,82,2875746
19300,113,2886856
19400,113,2899208
19500,98,2910835
19600,84,2921431
19700,124,2932992
19800,115,2944246
19900,141,2956598
20000,85,2968996
20100,97,2980857
20200,125,2993417
20300,124,3006107
20400,125,3019563
20500,73,3032740
20600,98,3041789
20700,110,3051606
20800,71,3061821
20900,100,3072426
21000,72,3084082
21100,112,3094157
21200,97,3105241
21300,113,3116737
21400,111,3128657
21500,153,3141814
21600,89,3169991
21700,97,3181130
21800,96,3192347
21900,112,3204009
22000,121,3216529
22100,110,3227740
22200,119,3239743
22300,121,3252377
22400,94,3265324
22500,135,3278735
22600,83,3289680
22700,111,3300251
22800,84,3311706
22900,121,3323014
23000,123,3335172
23100,121,3346970
23200,98,3358699
23300,97,3371506
23400,123,3383764
23500,136,3397093
23600,98,3409625
23700,110,3421284
23800,135,3434051
23900,138,3446321
24000,108,3459745
24100,110,3473023
24200,110,3486003
24300,146,3499654
24400,124,3513284
24500,147,3527730
24600,71,3541440
24700,110,3550476
24800,84,3560099
24900,84,3569953
25000,97,3580429
25100,83,3591767
25200,93,3601737
25300,108,3612592
25400,107,3623850
25500,123,3635544
25600,59,3648488
25700,96,3658142
25800,96,3668941
25900,108,3680166
26000,96,3691857
26100,132,3704467
26200,110,3715603
26300,136,3727646
26400,97,3740219
26500,114,3771217
26600,135,3798156
26700,99,3809143
26800,100,3819975
26900,102,3831625
27000,122,3843317
27100,138,3855757
27200,88,3867772
27300,112,3879676
27400,98,3892777
27500,138,3905433
27600,129,3919141
27700,112,3931921
27800,111,3943857
27900,151,3957024
28000,112,3969521
